file,plan,scale_value,marks,line_len_px
Projet Soumission 2025\S-1336 - Éclairage Ext 2000 McGill College\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025)\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025).qpl,20250211_Plans_Élec_Pour addenda 01 - 2,"0,0625",34,0.0
Projet Soumission 2025\S-1336 - Éclairage Ext 2000 McGill College\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025)\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025).qpl,20241220_Elec_Pour soumissions - 5,0,2,0.0
Projet Soumission 2025\S-1336 - Éclairage Ext 2000 McGill College\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025)\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025).qpl,20241220_Elec_Pour soumissions - 6,"0,0625",2,0.0
Projet Soumission 2025\S-1336 - Éclairage Ext 2000 McGill College\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025)\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025).qpl,20241220_Elec_Pour soumissions - 7,0,0,0.0
Projet Soumission 2025\S-1336 - Éclairage Ext 2000 McGill College\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025)\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025).qpl,20241220_Elec_Pour soumissions - 8,0,2,0.0
Projet Soumission 2025\S-1336 - Éclairage Ext 2000 McGill College\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025)\S-1336 Éclairage Extérieur 2000 McGill (29-Janvier-2025).qpl,2000-Av-McGill-College-–-Google-Maps-02-11-2025_08_27_AM,"0,8680203",0,0.0
Projet Soumission 2025\S-1341 - Koh Tao Boucherville\S-1341 Koh Tao Boucherville (31-Janvier-2025)\S-1341 Koh Tao Boucherville (31-Janvier-2025).qpl,Koh Tao Boucherville plans ÉLECTRICITÉ - 1,0,0,0.0
Projet Soumission 2025\S-1341 - Koh Tao Boucherville\S-1341 Koh Tao Boucherville (31-Janvier-2025)\S-1341 Koh Tao Boucherville (31-Janvier-2025).qpl,Koh Tao Boucherville plans ÉLECTRICITÉ - 2,0,0,0.0
Projet Soumission 2025\S-1341 - Koh Tao Boucherville\S-1341 Koh Tao Boucherville (31-Janvier-2025)\S-1341 Koh Tao Boucherville (31-Janvier-2025).qpl,Koh Tao Boucherville plans ÉLECTRICITÉ - 3,0,0,0.0
Projet Soumission 2025\S-1341 - Koh Tao Boucherville\S-1341 Koh Tao Boucherville (31-Janvier-2025)\S-1341 Koh Tao Boucherville (31-Janvier-2025).qpl,Koh Tao Boucherville plans ÉLECTRICITÉ - 4,0,0,0.0
Projet Soumission 2025\S-1341 - Koh Tao Boucherville\S-1341 Koh Tao Boucherville (31-Janvier-2025)\S-1341 Koh Tao Boucherville (31-Janvier-2025).qpl,Koh Tao Boucherville plans ÉLECTRICITÉ - 5,0,0,0.0
Projet Soumission 2025\S-1341 - Koh Tao Boucherville\S-1341 Koh Tao Boucherville (31-Janvier-2025)\S-1341 Koh Tao Boucherville (31-Janvier-2025).qpl,Koh Tao Boucherville plans ÉLECTRICITÉ - 6,0,0,0.0
Projet Soumission 2025\S-1341 - Koh Tao Boucherville\S-1341 Koh Tao Boucherville (31-Janvier-2025)\S-1341 Koh Tao Boucherville (31-Janvier-2025).qpl,Koh Tao Boucherville plans ÉLECTRICITÉ - 7,0,0,0.0
Projet Soumission 2025\S-1341 - Koh Tao Boucherville\S-1341 Koh Tao Boucherville (31-Janvier-2025)\S-1341 Koh Tao Boucherville (31-Janvier-2025).qpl,Koh Tao Boucherville plans ÉLECTRICITÉ - 8,0,93,0.0
Projet Soumission 2025\S-1341 - Koh Tao Boucherville\S-1341 Koh Tao Boucherville (31-Janvier-2025)\S-1341 Koh Tao Boucherville (31-Janvier-2025).qpl,Koh Tao Boucherville plans ÉLECTRICITÉ - 9,"0,25",263,0.0
Projet Soumission 2025\S-1341 - Koh Tao Boucherville\S-1341 Koh Tao Boucherville (31-Janvier-2025)\S-1341 Koh Tao Boucherville (31-Janvier-2025).qpl,Koh Tao Boucherville plans ÉLECTRICITÉ - 10,"0,25",10,0.0
Projet Soumission 2025\S-1341 - Koh Tao Boucherville\S-1341 Koh Tao Boucherville (31-Janvier-2025)\S-1341 Koh Tao Boucherville (31-Janvier-2025).qpl,Koh Tao Boucherville plans ÉLECTRICITÉ - 11,"0,25",291,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Plan Elec - 1,0,0,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Plans_Élec_Pour addenda no 2 - 1,0,0,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Plan Elec - 3,0,0,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Plans_Élec_Pour addenda no 2 - 2,0,0,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Plan Elec - 5,0,0,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Plans_Élec_Pour addenda no 2 - 3,0,0,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Plan Elec - 7,0,0,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Plan Elec - 8,0,0,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Plan Elec - 9,0,0,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Plans_Elec_Pour addenda no 1 - 2,0,0,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Plans_Élec_Pour addenda no 2 - 4,0,0,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Plans_Elec_Pour addenda no 1 - 4,0,241,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Éclairage,100,1176,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Toilette Éclairage,100,95,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Éclairage Pt2,100,83,0.0
Projet Soumission 2025\S-1342 - Foire Alimentaire Centre Eaton\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025)\S-1342 Foire Alimentaire Centre Eaton (31-Janvier-2025).qpl,Plans_Elec_Pour addenda no 1 - 7,0,0,0.0
