label,marks_total,n_projects,top_ee_ensemble,ee_key
PRISE ENLEVER,98,2,,
Drill,97,6,,
A/C UNIT,97,27,,
FIXT TYPE A3,97,7,,
RELAIS CH,97,4,,
SPOT SUR RAIL RELO,97,1,,
DT,97,5,,
HP 11 T1,97,1,,
B 1250W,97,3,,
A   F,97,1,,
L1,96,5,,
INTERRUPTEUR,96,4,,
RAIL T12,96,1,,
MR16,96,1,,
SORTIE TEL 1,96,1,,
Type E14,95,1,,
FIXTURE 2X4,95,1,,
BOITE J,95,1,,
HP 14 T1,95,1,,
fixt aa enl,95,1,,
SECTEUR,95,1,,
ADD D2,95,1,,
Type EXT3,94,1,,
CF1000W,94,2,,
FIXT TYPE G6,94,1,,
HP 9 T1,94,1,,
C A1,94,1,,
2#10 Motor (CO-X),94,1,,
DF1 Détecteur Fumée,94,1,,
fixt type e2,94,2,,
fixt type e1,94,2,,
MINI KLAXON,93,4,,
FIXT TYPE 104 STRIP,93,1,,
Klaxon,92,7,,
FIXT TYPE T2,92,1,,
FIXT TYPE A N,92,1,,
Compteur 1ENL INT,92,1,,
2#12 Motor,91,14,,
FIXT TYPE B2,91,12,,
T1,91,6,,
BOITE VOLUME,91,9,,
CASE LIGHTING,91,1,,
FIXT TYPE CL,91,1,,
COND SURFACE M,91,1,,
30A 240V NF WP,91,1,,
CHAUFFE-EAU,90,57,,
HP 16 T1,90,1,,
HP 10 T1,90,1,,
Type Wall,90,1,,
ADD 2 EXIT,90,2,,
PASSAGE ENCASTRE,90,1,,
TETE DOUBLE X4,90,2,,
DUPLEX,90,2,,
DAC-1,89,1,,
15A1P,89,1,,
Type L2,88,5,,
DEMO FIXT,87,2,,
2X4 RELO,87,1,,
SERVICE PRISE,87,1,,
Exit,86,6,,
FIXT B,86,4,,
OPERATEUR PORTE,86,22,,
MURAL SERV,86,1,,
exit,86,5,,
BORNE,86,4,,
C STROB,86,2,,
EXIT COMBO,85,11,,
ENL EXIT,85,6,,
15/20A,85,1,,
ETAG 1 PLAF,85,1,,
FIXT TYPE F4,84,2,,
E,84,9,,
MODULE DV,84,2,,
MODULE DD,84,2,,
AVERTISEUR INCENDIE,84,1,,
E PRISE,84,4,,
REV INT DECT,84,3,,
FIXT TYPE E1A,84,2,,
COMM TYPE E2,84,1,,
SERV TYPE C,84,1,,
ENL STRIP,84,2,,
DECTECTEUR,84,1,,
U2,84,4,,
FIXT TYPE R2,83,7,,
30A 600V NF,83,15,,
FIXT TYPE L2A,83,3,,
hp 15,83,1,,
FIXT TYPE L0,82,1,,
C PRISE,82,4,,
INT GRADATEUR,82,5,,
lb,82,1,,
dc08 fixt type l1,82,1,,
CONN TYPE B,82,2,,
Détecteur OS2,81,1,,
DETECTEUR F,81,5,,
GRADATEUR DECT,81,2,,
L PIEZO,81,1,,
3/4 LB,81,1,,
RCMS,81,1,,
FS14,81,1,,
FIXT STRIP ENL,81,1,,
DI,81,1,,
SEC HAUT PARLEUR,81,1,,
BOITE D 12X12X4PO CEMA1,80,7,LQE008444,HOFASE12124
USB,80,5,,
FIXT TYPE A6,80,4,,
CF1500W,80,2,,
GRADATEUR 0/10V,80,3,,
FIXT TYPE L13,80,7,,
FIXT TYPE ROND,80,1,,
FIXT  TYPE PS,80,2,,
MOTEUR EV-,80,1,,
Tel/Data 3/4,79,4,,
DF2,79,3,,
FIXT TYPE H1,79,10,,
BA,79,10,,
FIXT 2X2 ENLEVER,79,1,,
TYPE1,79,2,,
HP T1,79,1,,
HP 8 T1,79,1,,
n dect,79,1,,
BOUTON RELACHE,78,16,,
Compteur 12X4 EXISTANT,78,1,,
FIX DE LIGNE,78,1,,
B1750W,78,3,,
8x8,78,7,,
CAM,78,6,,
CMU1750W,78,1,,
FIXT E2,78,1,,
C E2,78,1,,
BOITE RACCORD CONNECTRAC,78,2,,
12x12x4,77,12,,
3#12 Motor,77,5,,
WF 2000W,77,5,,
J,77,7,,
Type A6,77,1,,
INT DM,77,3,,
